From File,To File
doc/APIchunk1.html,doc/html/libxml-xpath.html
doc/APIchunk1.html,doc/html/libxml-xpathinternals.html
doc/APIchunk1.html,doc/html/libxml-xpointer.html
doc/APIchunk1.html,doc/index.html
doc/APIchunk1.html,doc/interface.html
doc/APIchunk1.html,doc/intro.html
doc/APIchunk1.html,doc/library.html
doc/APIchunk1.html,doc/namespaces.html
doc/APIchunk1.html,doc/news.html
doc/APIchunk1.html,doc/python.html
doc/APIchunk1.html,doc/threads.html
doc/APIchunk1.html,doc/tree.html
doc/APIchunk1.html,doc/upgrade.html
doc/APIchunk1.html,doc/xml.html
doc/APIchunk1.html,doc/xmldtd.html
doc/APIchunk1.html,doc/XMLinfo.html
doc/APIchunk1.html,doc/xmlio.html
doc/APIchunk1.html,doc/xmlmem.html
doc/APIchunk1.html,doc/XSLT.html
doc/APIchunk10.html,doc/APIchunk0.html
doc/APIchunk10.html,doc/APIchunk1.html
doc/APIchunk10.html,doc/APIchunk11.html
doc/APIchunk10.html,doc/APIchunk12.html
doc/APIchunk10.html,doc/APIchunk13.html
doc/APIchunk10.html,doc/APIchunk14.html
doc/APIchunk10.html,doc/APIchunk15.html
doc/APIchunk10.html,doc/APIchunk16.html
doc/APIchunk10.html,doc/APIchunk17.html
doc/APIchunk10.html,doc/APIchunk18.html
doc/APIchunk10.html,doc/APIchunk19.html
doc/APIchunk10.html,doc/APIchunk2.html
doc/APIchunk10.html,doc/APIchunk20.html
doc/APIchunk10.html,doc/APIchunk3.html
doc/APIchunk10.html,doc/APIchunk4.html
doc/APIchunk10.html,doc/APIchunk5.html
doc/APIchunk10.html,doc/APIchunk6.html
doc/APIchunk10.html,doc/APIchunk7.html
doc/APIchunk10.html,doc/APIchunk8.html
doc/APIchunk10.html,doc/APIchunk9.html
doc/APIchunk10.html,doc/APIconstructors.html
doc/APIchunk10.html,doc/APIfiles.html
doc/APIchunk10.html,doc/APIfunctions.html
doc/APIchunk10.html,doc/APIsymbols.html
doc/APIchunk10.html,doc/architecture.html
doc/APIchunk10.html,doc/bugs.html
doc/APIchunk10.html,doc/catalog.html
doc/APIchunk10.html,doc/contribs.html
doc/APIchunk10.html,doc/docs.html
doc/APIchunk10.html,doc/DOM.html
doc/APIchunk10.html,doc/downloads.html
